qubits,num_iters,num_states,fidelity
2,1,2,0.9999999999999836
3,1,2,0.9999999999999813
4,1,2,0.449511686027165
4,2,3,0.1890399421717308
4,3,4,0.8031802730960569
4,4,5,1.0000000000000808
5,1,2,0.37475495688140165
5,2,3,0.07963095854521755
5,3,4,0.7837755098089878
5,4,5,0.7662362991817345
5,5,6,1.0000000000000089
6,1,2,0.3343831411919371
6,2,3,0.04864774957013529
6,3,4,0.21204975060535192
6,4,5,0.19328021257236355
6,5,6,0.25790468940193845
6,6,7,0.7203500394310871
6,7,8,0.21373685423139047
6,8,9,0.16766979686829223
6,9,10,0.7669169401691842
6,10,11,0.7033623818278731
6,11,12,0.8587115033521167
6,12,13,0.9986754788079073
6,13,14,0.9999999999997726
7,1,2,0.1410780877116123
7,2,3,0.04533759853896319
7,3,4,0.2585598681544226
7,4,5,0.13889577584352406
7,5,6,0.5816516858219228
7,6,7,0.5234812444780013
7,7,8,0.4177836571334055
7,8,9,0.5080031468522686
7,9,10,0.3056468730476522
7,10,11,0.5090273779391631
7,11,12,0.3687600069144157
7,12,13,0.38895960610292063
7,13,14,0.8908636340858164
7,14,15,0.8715536077476328
7,15,16,0.9998579539264463
8,1,2,0.032621835770258
8,2,3,0.04929436540355512
8,3,4,0.025633312438829395
8,4,5,0.07509857814225246
8,5,6,0.004723022027338756
8,6,7,0.10847649716684901
8,7,8,0.035162951880022976
8,8,9,0.34630939975934455
8,9,10,0.45908168668833854
8,10,11,0.2109633717522985
8,11,12,0.034951113550164475
8,12,13,0.25818259143781297
8,13,14,0.4151533915191336
8,14,15,0.4734993586158267
8,15,16,0.45989643161021593
8,16,17,0.4177728352104136
8,17,18,0.475734765479255
8,18,19,0.487517421022587
8,19,20,0.5063292738788425
8,20,21,0.8149271857945463
8,21,22,0.33855744024289597
8,22,23,0.7500623384360623
8,23,24,0.7143560262375256
8,24,25,0.7555549858816772
8,25,26,0.7639249465970915
8,26,27,0.8691758452547553
8,27,28,0.963317776350763
8,28,29,0.9414805107741823
8,29,30,0.9756969518594727
8,30,31,0.8291705982712273
8,31,32,0.9767993267475548
8,32,33,0.9209715211891252
8,33,34,0.9896782577046546
8,34,35,0.9924061004438876
8,35,36,0.9831256417474785
8,36,37,0.9976747297020532
8,37,38,0.9990087621964379
9,1,2,0.038435229631302005
9,2,3,0.0914692146089998
9,3,4,0.019157842959193816
9,4,5,0.18156724919393735
9,5,6,0.024816895044688207
