qubits,num_iters,num_states,fidelity
2,1,2,0.9999999999998201
3,1,2,0.9661662043227032
4,1,2,0.0025237986449182133
4,2,3,0.11108679030556541
4,3,4,0.21289744740479027
4,4,5,0.6201433381942576
4,5,6,0.7873912892773808
4,6,7,0.8196007154268242
4,7,8,1.0000000000001505
5,1,2,0.6036884896165043
5,2,3,0.3724991843233945
5,3,4,0.6680761921568213
5,4,5,0.316663425375466
5,5,6,0.45232253032022857
5,6,7,0.2860910615143677
5,7,8,0.7196090683833589
5,8,9,0.8633881040727678
5,9,10,0.9999999999999654
6,1,2,0.10449252897265168
6,2,3,0.15657822883362496
6,3,4,0.2475182272198484
6,4,5,0.3505866778460566
6,5,6,0.36943253290843053
6,6,7,0.5777227517790123
6,7,8,0.45874720768324395
6,8,9,0.5620034874840769
6,9,10,0.7779188795578524
6,10,11,0.6856643039138387
6,11,12,0.6757136760194754
6,12,13,0.6838624364765126
6,13,14,0.6623499179680561
6,14,15,0.7434512579264371
6,15,16,0.58831429465862
6,16,17,0.5305689536400882
6,17,18,0.7959041552109878
6,18,19,0.7826271464488165
6,19,20,0.9331513730216184
7,1,2,0.3478268689764372
7,2,3,0.3519694079470482
7,3,4,0.3020130478361325
7,4,5,0.3302737649968806
7,5,6,0.43232728028236683
7,6,7,0.2877399302872454
7,7,8,0.35037885263782936
7,8,9,0.18429333302274314
7,9,10,0.38350030866967366
7,10,11,0.3067658700976816
7,11,12,0.6432050856225175
7,12,13,0.5352237332548638
7,13,14,0.6301235247077747
7,14,15,0.6289898935754673
7,15,16,0.5503074548000307
7,16,17,0.6923634280439273
7,17,18,0.6018532627882898
7,18,19,0.7509986287592253
7,19,20,0.7409297009447345
7,20,21,0.5858516682381505
7,21,22,0.806925221396608
7,22,23,0.693196555118895
7,23,24,0.6411967843065418
7,24,25,0.7274760807466552
7,25,26,0.9119859288425011
8,1,2,0.028480305540386892
8,2,3,0.09165869314833582
8,3,4,0.0009540125552929147
8,4,5,0.027992640307810603
8,5,6,0.00345692838033766
8,6,7,0.2973785861244728
8,7,8,0.13916460958087679
8,8,9,0.28231269366404993
8,9,10,0.40537696164720355
8,10,11,0.21718437313073424
8,11,12,0.4869096229650757
8,12,13,0.40089668870678224
8,13,14,0.542781462677935
8,14,15,0.5303527889677623
8,15,16,0.36548040445083874
8,16,17,0.5776191224886192
8,17,18,0.5832554853406157
8,18,19,0.48982951843619643
8,19,20,0.45324943764534587
8,20,21,0.39252382531656016
8,21,22,0.5129088358906451
8,22,23,0.4737135493575358
8,23,24,0.5098559749355478
8,24,25,0.42830571909867005
8,25,26,0.4051768039722448
8,26,27,0.49248745914532327
8,27,28,0.44604643615175715
8,28,29,0.5806880468287205
8,29,30,0.6622916738704537
8,30,31,0.6771279324084085
8,31,32,0.6878122062284291
8,32,33,0.5850990996675683
8,33,34,0.7627396377330271
8,34,35,0.6975866814340788
8,35,36,0.6289866408478647
8,36,37,0.6486965355038682
8,37,38,0.7067666578446995
8,38,39,0.7690772017334128
8,39,40,0.6770642485399897
8,40,41,0.7645400039454147
8,41,42,0.7750618770802364
8,42,43,0.7133273759973925
8,43,44,0.664432449633764
8,44,45,0.7602155244928707
8,45,46,0.7544180123785298
8,46,47,0.7391558433288135
8,47,48,0.7907977635627905
8,48,49,0.7285082960870745
8,49,50,0.8219010658221064
8,50,51,0.8080101491474705
8,51,52,0.7487726256233188
8,52,53,0.8578956535447618
8,53,54,0.8289716339461954
8,54,55,0.8270641359525603
8,55,56,0.8714609013766337
8,56,57,0.8347186737996386
8,57,58,0.8443961748373389
8,58,59,0.8337684776476162
8,59,60,0.884788440374605
8,60,61,0.8841391112662483
8,61,62,0.8608070605662518
8,62,63,0.854582498637442
8,63,64,0.8824753844337586
8,64,65,0.8940670629420031
8,65,66,0.9187591170815007
9,1,2,0.30983302956449627
9,2,3,0.284487533621443
9,3,4,0.1952713158217146
9,4,5,0.14853786925208398
9,5,6,0.2788740362331745
9,6,7,0.2744816927130833
9,7,8,0.14433001562554215
9,8,9,0.07872814986095658
9,9,10,0.2161557168790855
9,10,11,0.22109019946593736
9,11,12,0.13192024563813887
9,12,13,0.24079359810067177
9,13,14,0.24546591874250145
9,14,15,0.22417040453538495
9,15,16,0.5026473308232052
9,16,17,0.33687467802997345
9,17,18,0.3669294143740338
9,18,19,0.4953645488275628
9,19,20,0.43657551633970326
9,20,21,0.4168677972797877
9,21,22,0.34991091847588796
9,22,23,0.402853509070781
9,23,24,0.5436466689178673
9,24,25,0.3113887944751926
9,25,26,0.5631701674925665
9,26,27,0.5919482519483288
9,27,28,0.6514340063264967
9,28,29,0.6831128298675092
9,29,30,0.6235540488741931
9,30,31,0.5062482697989741
9,31,32,0.5940146855034266
9,32,33,0.6360571860812457
9,33,34,0.5881675608235348
9,34,35,0.7024722420297481
9,35,36,0.619470294083292
9,36,37,0.6578813631083027
9,37,38,0.6855791884924319
9,38,39,0.6296528562560012
9,39,40,0.6270370364705724
9,40,41,0.6595202346768775
9,41,42,0.7379261404787159
9,42,43,0.7049091847877231
9,43,44,0.6599905614671754
9,44,45,0.6770204472135335
9,45,46,0.7159268294780836
9,46,47,0.7049586889129095
9,47,48,0.7145102223104525
9,48,49,0.7336903818365054
9,49,50,0.7036956075586657
9,50,51,0.7435157759151363
9,51,52,0.7627286451029684
9,52,53,0.7640028630329222
9,53,54,0.7171255841515609
9,54,55,0.7566289644369131
9,55,56,0.723154820816503
9,56,57,0.7717668421705798
9,57,58,0.736295511474842
9,58,59,0.7457284391456156
9,59,60,0.7556953096981772
9,60,61,0.7645912865989812
9,61,62,0.7543687571825666
9,62,63,0.764366655686726
9,63,64,0.7880285350783239
9,64,65,0.746668770988492
9,65,66,0.7333800165302728
9,66,67,0.835181349084072
9,67,68,0.8262624272882908
9,68,69,0.8613427550626247
9,69,70,0.8116114277562525
9,70,71,0.8633436696348421
9,71,72,0.8198826184358393
9,72,73,0.8467484991426686
9,73,74,0.8259000952646496
