qubits,M,tau,num_iters,num_states,fidelity
2,5,0.1,1,5,0.9999999999999982
3,5,0.1,1,5,0.9999999999999813
4,5,0.1,1,5,0.9999967415855322
5,5,0.1,1,5,0.7788932353336742
5,5,0.1,2,10,0.9999918395201617
6,5,0.1,1,5,0.19411931268533533
6,5,0.1,2,10,0.10150452792723302
6,5,0.1,3,15,0.1663229933230371
6,5,0.1,4,20,0.16646039612374294
6,5,0.1,5,25,0.16142778313899428
6,5,0.1,6,30,0.12306328869831942
6,5,0.1,7,35,1.0000000046636366
7,5,0.1,1,5,0.14335263005205282
7,5,0.1,2,10,0.2628089331663475
7,5,0.1,3,15,0.2527882494097017
7,5,0.1,4,20,0.30913472826764227
7,5,0.1,5,25,0.38159892821608105
7,5,0.1,6,30,0.41987055283435
7,5,0.1,7,35,0.3478153942680859
7,5,0.1,8,40,0.4183387921772732
7,5,0.1,9,45,0.411650021189039
7,5,0.1,10,50,0.45355717505044185
7,5,0.1,11,55,0.4352834754665193
7,5,0.1,12,60,0.4310326316048712
7,5,0.1,13,65,0.4959145606022539
7,5,0.1,14,70,0.8767047307193069
7,5,0.1,15,75,0.8776469848794023
7,5,0.1,16,80,0.8787383156441823
7,5,0.1,17,85,0.8783708210429472
7,5,0.1,18,90,0.8738235393440681
7,5,0.1,19,95,1.000000006981768
8,5,0.1,1,5,0.14659013599089865
8,5,0.1,2,10,0.05798757035172616
8,5,0.1,3,15,0.12023515043394935
8,5,0.1,4,20,0.1250651938869704
8,5,0.1,5,25,0.1031627982459532
8,5,0.1,6,30,0.02334624835628534
8,5,0.1,7,35,0.15463241008098966
8,5,0.1,8,40,0.061924108644505566
8,5,0.1,9,45,0.12131207416692628
8,5,0.1,10,50,0.007057067477447576
8,5,0.1,11,55,0.1003064338911453
8,5,0.1,12,60,0.04597951519711099
8,5,0.1,13,65,0.08262368397429523
8,5,0.1,14,70,0.0520602913922581
8,5,0.1,15,75,0.20386297362484845
8,5,0.1,16,80,0.25498734443161236
8,5,0.1,17,85,0.4297017827085168
8,5,0.1,18,90,0.532690651572929
8,5,0.1,19,95,0.8773518092995525
8,5,0.1,20,100,0.9999997616335277
9,5,0.1,1,5,0.15420433758211133
9,5,0.1,2,10,0.02479997047803172
9,5,0.1,3,15,0.18600722872904932
9,5,0.1,4,20,0.043990499831729285
9,5,0.1,5,25,0.09059760039654305
9,5,0.1,6,30,0.06456991795617242
9,5,0.1,7,35,0.21306939374942035
9,5,0.1,8,40,0.13626800033516828
9,5,0.1,9,45,0.06119969985500846
9,5,0.1,10,50,0.111597237354451
9,5,0.1,11,55,0.06703001265139093
9,5,0.1,12,60,0.035775989689459164
9,5,0.1,13,65,0.0328850961073623
9,5,0.1,14,70,0.01907556338452387
9,5,0.1,15,75,0.01802593128927353
9,5,0.1,16,80,0.059538752425388974
9,5,0.1,17,85,0.05575475399393236
9,5,0.1,18,90,0.04350656421274024
9,5,0.1,19,95,0.05615450500799377
9,5,0.1,20,100,0.06860101735162505
9,5,0.1,21,105,0.06821895201237836
9,5,0.1,22,110,0.06407422902271785
9,5,0.1,23,115,0.05679664441883552
9,5,0.1,24,120,0.05361748204112042
9,5,0.1,25,125,0.028414117147675565
9,5,0.1,26,130,0.034347214649748964
9,5,0.1,27,135,0.04146274239926226
9,5,0.1,28,140,0.031521973436347855
9,5,0.1,29,145,0.01434018123991368
9,5,0.1,30,150,0.0071995417355904204
9,5,0.1,31,155,0.015063395224050067
9,5,0.1,32,160,0.032452371063043835
9,5,0.1,33,165,0.09140322699648275
9,5,0.1,34,170,0.18115092131776084
9,5,0.1,35,175,0.151169972097675
9,5,0.1,36,180,0.3955428784889572
9,5,0.1,37,185,0.49445282575496236
9,5,0.1,38,190,0.6611391265322941
9,5,0.1,39,195,0.7108364052736476
9,5,0.1,40,200,0.8881916307693071
9,5,0.1,41,205,0.9264443979666035
10,5,0.1,1,5,0.13931001236121549
10,5,0.1,2,10,0.13588776239861042
10,5,0.1,3,15,0.1047562228571385
10,5,0.1,4,20,0.16181688460255977
10,5,0.1,5,25,0.015685259610015684
10,5,0.1,6,30,0.07661608852598706
10,5,0.1,7,35,0.12545005114387675
10,5,0.1,8,40,0.01945430917613419
10,5,0.1,9,45,0.010986736852694953
10,5,0.1,10,50,0.02876041690670759
10,5,0.1,11,55,0.017266351876812528
10,5,0.1,12,60,0.02248897624313502
10,5,0.1,13,65,0.05516493837296991
10,5,0.1,14,70,0.07537644359290628
10,5,0.1,15,75,0.06453848783268763
10,5,0.1,16,80,0.12408778498108619
10,5,0.1,17,85,0.08622065040648826
10,5,0.1,18,90,0.09895841198637671
10,5,0.1,19,95,0.11459594521378419
10,5,0.1,20,100,0.1117509710826136
10,5,0.1,21,105,0.09946271310393962
10,5,0.1,22,110,0.10553198323474107
10,5,0.1,23,115,0.08979257770601276
10,5,0.1,24,120,0.07521435987634635
10,5,0.1,25,125,0.05584941374935839
10,5,0.1,26,130,0.06762646256238895
10,5,0.1,27,135,0.06301493930790492
10,5,0.1,28,140,0.04690292952406719
10,5,0.1,29,145,0.03536477084817862
10,5,0.1,30,150,0.030585694109933035
10,5,0.1,31,155,0.02904215917924086
10,5,0.1,32,160,0.0466568950181994
10,5,0.1,33,165,0.04921042055309489
10,5,0.1,34,170,0.02699064313349498
10,5,0.1,35,175,0.01629136266850438
10,5,0.1,36,180,0.003992328042500544
10,5,0.1,37,185,0.014500492032823586
10,5,0.1,38,190,0.019135573906254203
10,5,0.1,39,195,0.020742609800754527
10,5,0.1,40,200,0.03214270960014951
10,5,0.1,41,205,0.03606980566115084
10,5,0.1,42,210,0.04032461304706333
10,5,0.1,43,215,0.048525593470276074
10,5,0.1,44,220,0.050177810619182896
10,5,0.1,45,225,0.058252960533834774
10,5,0.1,46,230,0.04114108826465525
10,5,0.1,47,235,0.07317249611365742
10,5,0.1,48,240,0.049467507222857636
10,5,0.1,49,245,0.05778593129443122
10,5,0.1,50,250,0.03123974330687439
10,5,0.1,51,255,0.03215483922560229
10,5,0.1,52,260,0.029853479704826418
10,5,0.1,53,265,0.031879421926806636
10,5,0.1,54,270,0.03197024885054608
10,5,0.1,55,275,0.03191026699530418
10,5,0.1,56,280,0.031072414361281973
10,5,0.1,57,285,0.020836678803585685
10,5,0.1,58,290,0.025968506529033555
10,5,0.1,59,295,0.02601583025885841
10,5,0.1,60,300,0.037747317906448766
10,5,0.1,61,305,0.0519796936959297
10,5,0.1,62,310,0.051469452466752656
10,5,0.1,63,315,0.15629726578113345
10,5,0.1,64,320,0.26538507262288563
10,5,0.1,65,325,0.3063042431503289
10,5,0.1,66,330,0.3215070724958497
10,5,0.1,67,335,0.3427016388930263
10,5,0.1,68,340,0.3466840643746634
10,5,0.1,69,345,0.40524778059469146
10,5,0.1,70,350,0.4326507894395338
10,5,0.1,71,355,0.4184462445906783
10,5,0.1,72,360,0.4175455446586732
10,5,0.1,73,365,0.41758517436349313
10,5,0.1,74,370,0.41756578754471707
10,5,0.1,75,375,0.4175884919794195
10,5,0.1,76,380,0.4175843380830396
10,5,0.1,77,385,0.4175811513122232
10,5,0.1,78,390,0.41758101020626437
10,5,0.1,79,395,0.41663829845910094
10,5,0.1,80,400,0.4123083881422485
10,5,0.1,81,405,0.40143501719590474
10,5,0.1,82,410,0.40198029076690495
10,5,0.1,83,415,0.43912574554535483
10,5,0.1,84,420,0.4390460814481731
10,5,0.1,85,425,0.4371098707397675
10,5,0.1,86,430,0.43412879088047274
10,5,0.1,87,435,0.43435227326302467
10,5,0.1,88,440,0.4433153656793462
10,5,0.1,89,445,0.44328068692750333
10,5,0.1,90,450,0.4433188137072412
10,5,0.1,91,455,0.44330986098698644
10,5,0.1,92,460,0.4432883998336639
10,5,0.1,93,465,0.4451515508712098
10,5,0.1,94,470,0.4450833478598146
10,5,0.1,95,475,0.4410398362252768
10,5,0.1,96,480,0.4399758628196499
10,5,0.1,97,485,0.44092177688282463
10,5,0.1,98,490,0.4407320728978765
10,5,0.1,99,495,0.4406965003357082
10,5,0.1,100,500,0.44068973958628876
10,5,0.1,101,505,0.44069326264694636
10,5,0.1,102,510,0.4406857481181043
10,5,0.1,103,515,0.4406716269118293
10,5,0.1,104,520,0.4406729016315604
10,5,0.1,105,525,0.440672638940151
10,5,0.1,106,530,0.4406612210533146
10,5,0.1,107,535,0.4406414985812329
10,5,0.1,108,540,0.44065915499100033
10,5,0.1,109,545,0.4406577289098962
10,5,0.1,110,550,0.4406549750482304
10,5,0.1,111,555,0.44065250910274884
10,5,0.1,112,560,0.44065017164306175
10,5,0.1,113,565,0.4406335864985549
10,5,0.1,114,570,0.4406370036237181
10,5,0.1,115,575,0.44063874852920953
10,5,0.1,116,580,0.44026899133934544
10,5,0.1,117,585,0.44026495973598967
10,5,0.1,118,590,0.4402639554664189
10,5,0.1,119,595,0.44026334169559245
10,5,0.1,120,600,0.4402827580180505
10,5,0.1,121,605,0.44026425057580304
10,5,0.1,122,610,0.4395292945210816
10,5,0.1,123,615,0.4393285329313297
10,5,0.1,124,620,0.43902747835088396
10,5,0.1,125,625,0.4430709630323763
10,5,0.1,126,630,0.4430686975032035
10,5,0.1,127,635,0.44306696697144565
10,5,0.1,128,640,0.44290970498674176
10,5,0.1,129,645,0.4428984173920167
10,5,0.1,130,650,0.44289264620729274
10,5,0.1,131,655,0.43555318376865965
10,5,0.1,132,660,0.48382193972447407
10,5,0.1,133,665,0.4867028156048103
10,5,0.1,134,670,0.4860297298448705
10,5,0.1,135,675,0.5513834328915506
10,5,0.1,136,680,0.5121797475934727
10,5,0.1,137,685,0.5137167931890311
10,5,0.1,138,690,0.5157215871136956
10,5,0.1,139,695,0.5212378937848571
10,5,0.1,140,700,0.5367934326108862
10,5,0.1,141,705,0.5987202833497691
10,5,0.1,142,710,0.7193166654831743
10,5,0.1,143,715,0.9097097385882177
11,5,0.1,1,5,0.2494483689735717
11,5,0.1,2,10,0.1923258137254261
11,5,0.1,3,15,0.2371550123610125
11,5,0.1,4,20,0.20472291153510006
11,5,0.1,5,25,0.1626124245963597
11,5,0.1,6,30,0.09220279388485365
11,5,0.1,7,35,0.033348487663955255
11,5,0.1,8,40,0.09977777646920025
11,5,0.1,9,45,0.1308567794985136
11,5,0.1,10,50,0.0992354430316112
11,5,0.1,11,55,0.11965126020347691
11,5,0.1,12,60,0.14554474856757865
11,5,0.1,13,65,0.06411405274368726
11,5,0.1,14,70,0.07855486407145856
11,5,0.1,15,75,0.020410295773131987
11,5,0.1,16,80,0.06340639476819282
11,5,0.1,17,85,0.07934561885913884
11,5,0.1,18,90,0.08758872198924193
11,5,0.1,19,95,0.08339052428291709
11,5,0.1,20,100,0.07508104475480906
11,5,0.1,21,105,0.07571653894640847
11,5,0.1,22,110,0.058341583378000876
11,5,0.1,23,115,0.03113917189218066
11,5,0.1,24,120,0.003815432501391617
11,5,0.1,25,125,0.008820629305719635
11,5,0.1,26,130,0.01172482499826749
11,5,0.1,27,135,0.04005945871306825
11,5,0.1,28,140,0.06707125042278714
11,5,0.1,29,145,0.0705977207160394
11,5,0.1,30,150,0.07467419424527283
11,5,0.1,31,155,0.09195922659243387
11,5,0.1,32,160,0.08794103824289368
11,5,0.1,33,165,0.08138791704227825
11,5,0.1,34,170,0.08159407569332681
11,5,0.1,35,175,0.07974714885395995
11,5,0.1,36,180,0.08531870080004335
11,5,0.1,37,185,0.0875582994841982
11,5,0.1,38,190,0.08583808446056196
11,5,0.1,39,195,0.08423782648018849
11,5,0.1,40,200,0.10414843548778398
11,5,0.1,41,205,0.1080932366913043
11,5,0.1,42,210,0.10455464667793757
11,5,0.1,43,215,0.10707383591831564
11,5,0.1,44,220,0.08381703693578521
11,5,0.1,45,225,0.10689150028418562
11,5,0.1,46,230,0.1211606745794811
11,5,0.1,47,235,0.11824143902708376
11,5,0.1,48,240,0.04683122616774413
11,5,0.1,49,245,0.016960107843147415
11,5,0.1,50,250,0.11046826342797501
11,5,0.1,51,255,0.11721901404469325
11,5,0.1,52,260,0.09874952061169254
11,5,0.1,53,265,0.044068790569788165
11,5,0.1,54,270,0.01941405005561438
11,5,0.1,55,275,0.01633315567612501
11,5,0.1,56,280,0.02518826978934494
11,5,0.1,57,285,0.021029343929059845
11,5,0.1,58,290,0.025320858572652552
11,5,0.1,59,295,0.026127718970220353
11,5,0.1,60,300,0.02114355657847785
11,5,0.1,61,305,0.022742240274656964
11,5,0.1,62,310,0.01380670340035027
11,5,0.1,63,315,0.01341689440872276
11,5,0.1,64,320,0.010201858885716692
11,5,0.1,65,325,0.04735269656943171
11,5,0.1,66,330,0.046753122263150426
11,5,0.1,67,335,0.055209652970925685
11,5,0.1,68,340,0.0678217860730019
11,5,0.1,69,345,0.05399103350910764
11,5,0.1,70,350,0.035461379837876464
11,5,0.1,71,355,0.031499582005355145
11,5,0.1,72,360,0.04244485535921731
11,5,0.1,73,365,0.05824055908707079
11,5,0.1,74,370,0.06369174767673637
11,5,0.1,75,375,0.06439305206639505
11,5,0.1,76,380,0.0538172783440273
11,5,0.1,77,385,0.05313574638677154
11,5,0.1,78,390,0.050128236404260625
11,5,0.1,79,395,0.05342428980010356
11,5,0.1,80,400,0.055049295732473635
11,5,0.1,81,405,0.055400589563817756
11,5,0.1,82,410,0.06741337870584917
11,5,0.1,83,415,0.06560943097282942
11,5,0.1,84,420,0.06951844999734973
11,5,0.1,85,425,0.0711618968764636
11,5,0.1,86,430,0.09134689479214025
11,5,0.1,87,435,0.09167162970632065
11,5,0.1,88,440,0.09590132931738313
11,5,0.1,89,445,0.09139267098422811
11,5,0.1,90,450,0.09672932341298524
11,5,0.1,91,455,0.10454516610266976
