qubits,M,tau,num_iters,num_states,fidelity
2,20,0.1,1,20,0.9999999999999809
3,20,0.1,1,20,0.999999999999986
4,20,0.1,1,20,1.0000000000000178
5,20,0.1,1,20,1.0000000000001061
6,20,0.1,1,20,1.0000000000025744
7,20,0.1,1,20,0.9987002969750255
8,20,0.1,1,20,0.09995325881629803
8,20,0.1,2,40,0.09995325881612098
8,20,0.1,3,60,0.3377775315130654
8,20,0.1,4,80,0.9925049821347147
9,20,0.1,1,20,0.0648834036917092
9,20,0.1,2,40,0.06488340369164218
9,20,0.1,3,60,0.3933587752949409
9,20,0.1,4,80,0.20715474864746838
9,20,0.1,5,100,0.4119667707400688
9,20,0.1,6,120,0.7578338407277506
9,20,0.1,7,140,0.9761026372668056
9,20,0.1,8,160,1.0000000000007017
10,20,0.1,1,20,0.017947669314320455
10,20,0.1,2,40,0.050008301819209844
10,20,0.1,3,60,0.05000830181915548
10,20,0.1,4,80,0.19597346880464003
10,20,0.1,5,100,0.19699919117074027
10,20,0.1,6,120,0.2553589581379291
10,20,0.1,7,140,0.5441951591637282
10,20,0.1,8,160,0.9603644350220885
10,20,0.1,9,180,1.0000000000006901
11,20,0.1,1,20,0.2046680946374306
11,20,0.1,2,40,0.07421098804382405
11,20,0.1,3,60,0.07421098804378409
11,20,0.1,4,80,0.026711115252102638
11,20,0.1,5,100,0.06660481260669088
11,20,0.1,6,120,0.0688500246056113
11,20,0.1,7,140,0.0643921463893823
11,20,0.1,8,160,0.03324692352931971
11,20,0.1,9,180,0.05651315018343022
11,20,0.1,10,200,0.07979790064020441
11,20,0.1,11,220,0.10409800511077508
11,20,0.1,12,240,0.10325724812596679
11,20,0.1,13,260,0.15031637700935954
11,20,0.1,14,280,0.15299337594718665
11,20,0.1,15,300,0.17160010185919836
11,20,0.1,16,320,0.21878092146573394
11,20,0.1,17,340,0.23591442895657805
11,20,0.1,18,360,0.27361882155825884
11,20,0.1,19,380,0.3271449851161871
11,20,0.1,20,400,0.39681885582888976
11,20,0.1,21,420,0.4863649370051258
11,20,0.1,22,440,0.5755095857795376
11,20,0.1,23,460,0.724751673264091
11,20,0.1,24,480,0.9495330261662953
11,20,0.1,25,500,0.999999999998558
12,20,0.1,1,20,0.059784268591319176
12,20,0.1,2,40,0.06141766049881886
12,20,0.1,3,60,0.06141766049882677
12,20,0.1,4,80,0.039166176856169244
12,20,0.1,5,100,0.006839843258644585
12,20,0.1,6,120,0.034266035967657676
12,20,0.1,7,140,0.03754670487337052
12,20,0.1,8,160,0.005269081773838629
12,20,0.1,9,180,0.01146604789745485
12,20,0.1,10,200,0.0013471715425908313
12,20,0.1,11,220,0.012238401334688068
12,20,0.1,12,240,0.0160167956228204
12,20,0.1,13,260,0.012989142210042801
12,20,0.1,14,280,0.012450978894022725
12,20,0.1,15,300,0.03190433013317277
12,20,0.1,16,320,0.05001236298802375
12,20,0.1,17,340,0.06276574772258242
12,20,0.1,18,360,0.10076052935281322
12,20,0.1,19,380,0.13147093958490041
12,20,0.1,20,400,0.1686258765248059
12,20,0.1,21,420,0.15900379589192623
12,20,0.1,22,440,0.1767370917239986
12,20,0.1,23,460,0.1842060969883044
12,20,0.1,24,480,0.1931716805727437
12,20,0.1,25,500,0.22501215995686846
12,20,0.1,26,520,0.21459375326434058
12,20,0.1,27,540,0.26115485426952
12,20,0.1,28,560,0.2755290150520474
12,20,0.1,29,580,0.31085974726797233
12,20,0.1,30,600,0.3666008091654063
12,20,0.1,31,620,0.40808161775329727
12,20,0.1,32,640,0.4468862356150535
12,20,0.1,33,660,0.4966494641035991
12,20,0.1,34,680,0.5132681775105828
12,20,0.1,35,700,0.5358791758171088
12,20,0.1,36,720,0.5614748010760616
12,20,0.1,37,740,0.6140484913969572
12,20,0.1,38,760,0.6647525973968875
12,20,0.1,39,780,0.6931793177092187
12,20,0.1,40,800,0.7347463572516542
12,20,0.1,41,820,0.7858956364725529
12,20,0.1,42,840,0.8198328419065015
12,20,0.1,43,860,0.8503999812348342
12,20,0.1,44,880,0.8756550678027264
12,20,0.1,45,900,0.9169613344174261
12,20,0.1,46,920,0.953794550454584
12,20,0.1,47,940,0.9817367073666549
12,20,0.1,48,960,0.9996579263302073
