num_iters,num_states,fidelity
1,2,0.00020573532745763403
2,3,0.01149526767424994
3,4,0.01391365399315929
4,5,0.0312762566879233
5,6,0.0010443103621603704
6,7,9.361947397683493e-05
7,8,0.0009429264796034162
8,9,0.0013179767681710198
9,10,0.0004454769210433131
10,11,0.036032010036729636
11,12,0.030505544319113332
12,13,0.004270026201556558
13,14,0.0006404234699047906
14,15,0.015000271495439694
15,16,0.020567309163817386
16,17,0.008891231923766034
17,18,0.011908312934693667
18,19,0.07759973421670095
19,20,0.013480199060383016
20,21,0.00030005532219192
21,22,1.453363137117209e-06
22,23,4.0733584131923595e-05
23,24,0.06582104367003447
24,25,0.0003543201130592619
25,26,0.03408879453358989
26,27,0.00011126219188015114
27,28,0.04979460045167348
28,29,0.04211976880809259
29,30,0.009046499473119288
30,31,0.03157175708720845
31,32,0.01318383150218951
32,33,0.014996319518321978
33,34,0.04685988988964231
34,35,8.850685905843773e-10
35,36,0.05090751861083909
36,37,0.03067857890946474
37,38,0.01811099015683651
38,39,0.04647013725727164
39,40,0.003025248492318971
40,41,6.648710120470782e-05
41,42,0.0026798645550485133
42,43,0.013336748556178866
43,44,0.003630656699682352
44,45,0.008220198708060239
45,46,0.02666479735143953
46,47,0.0177887568815912
47,48,0.010041865252094639
48,49,0.03585175057148524
49,50,0.01136502171193723
50,51,0.010610856627198906
51,52,0.06786072226772845
52,53,0.02346253821112111
53,54,0.012900601023546851
54,55,0.03637364954960418
55,56,0.007680056494851404
56,57,0.03927987291598463
57,58,8.39216968755916e-06
58,59,0.13517231453420311
59,60,0.0005561696718303489
60,61,6.028376432693219e-05
61,62,0.0012754663885448496
62,63,0.0573104417282717
63,64,0.0792749321838327
64,65,0.0014237246955149639
65,66,0.07105997685120441
66,67,0.014659718944655582
67,68,0.004785747972682233
68,69,0.005759450802210723
69,70,0.04591891588387354
70,71,0.015697498160793726
71,72,0.038398927082748224
72,73,0.0089041413116928
73,74,0.01507276736736556
74,75,0.06720940842804378
75,76,0.07760127805026162
76,77,0.05222799781046082
77,78,0.0035953268377354594
78,79,0.04398921875913698
79,80,0.11148181805444747
80,81,0.13156642027987472
81,82,0.005483114381416252
82,83,0.046300109219900396
83,84,0.15780942154600258
84,85,0.10546655038827087
85,86,0.16355240364334636
86,87,0.20755439483275528
87,88,0.12328433045563957
88,89,0.03978611466991371
89,90,0.21401494659212325
90,91,0.11168894677952254
91,92,0.2933985299467563
92,93,0.32619183030399224
93,94,0.2397052338806161
94,95,0.20276677809919805
95,96,0.2564230030997354
96,97,0.21297853205471604
97,98,0.12178651761968051
98,99,0.28934914787598853
99,100,0.446147745499501
100,101,0.2604830285751859
101,102,0.1644758093078751
102,103,0.21363515381053774
103,104,0.3025214766624717
104,105,0.2208999379741667
105,106,0.20945881390437346
106,107,0.2668755918433395
107,108,0.2876944708928762
108,109,0.29293568669359876
109,110,0.37887283648333925
110,111,0.378053218957982
111,112,0.4043560299138385
112,113,0.21617345786270797
113,114,0.33483370448290894
114,115,0.24441820684035626
115,116,0.22638741095036533
116,117,0.36004780913549117
117,118,0.3286240287803622
118,119,0.36870068673719236
119,120,0.404170640743444
120,121,0.3218252841690112
121,122,0.38158673301621526
122,123,0.32681202039956975
123,124,0.3441425199226868
124,125,0.3940212503811777
125,126,0.3584958478611721
126,127,0.41089918891359145
127,128,0.33681081294143955
128,129,0.34306138504180633
129,130,0.3739618862601107
130,131,0.3821665868134204
131,132,0.2689145371792742
132,133,0.3962406067668473
133,134,0.2920932610628692
134,135,0.3634602121863943
135,136,0.3306687330015139
136,137,0.31877955984357775
137,138,0.32238195935253716
138,139,0.30885357340658864
139,140,0.3289130565000869
140,141,0.3493780471217237
141,142,0.32943727940027595
142,143,0.33910583854745124
143,144,0.3765053807451367
144,145,0.3731949751723577
145,146,0.3425712570508332
146,147,0.3790389399464304
147,148,0.42785662291332077
148,149,0.4245715167343527
149,150,0.47066503877770144
150,151,0.35880102509234046
151,152,0.43114647084664737
152,153,0.36401576549838416
153,154,0.3496727954880367
154,155,0.31016509246628865
155,156,0.39170724478241664
156,157,0.44080279837435
157,158,0.3620897034534308
158,159,0.3325637272695479
159,160,0.3107771143268536
160,161,0.36343907880246895
161,162,0.3452562801072776
162,163,0.3686554042399184
163,164,0.4430907090899709
164,165,0.36615195175095583
165,166,0.3298763678060655
166,167,0.3979296303790454
167,168,0.3902361534472685
168,169,0.40229035362850707
169,170,0.40640943031485827
170,171,0.38146168452509305
171,172,0.5414514453074762
172,173,0.4393055018668676
173,174,0.3445989090000338
174,175,0.4512784183151426
175,176,0.4672432907412524
176,177,0.5622835038164362
177,178,0.49138353084732894
178,179,0.505593388833855
179,180,0.555548721630626
180,181,0.58063612086465
181,182,0.5785012758395995
182,183,0.5785675135387801
183,184,0.5485943502242635
184,185,0.613537679732777
185,186,0.5666908375719857
186,187,0.5793868227086943
187,188,0.552780367585502
188,189,0.6051761996628204
189,190,0.644577230276126
190,191,0.6053643715409374
191,192,0.6290813829754083
192,193,0.631061612137906
193,194,0.6324346516035461
194,195,0.6525709837079178
195,196,0.6562123255354485
196,197,0.5759545868953333
197,198,0.5898627771276252
198,199,0.6537594769636994
199,200,0.7084137324643386
