qubits,M,tau,num_iters,num_states,fidelity
2,3,0.1,1,3,0.9999999999998135
3,3,0.1,1,3,0.41010053448781775
3,3,0.1,2,6,1.0000000000001767
4,3,0.1,1,3,0.2114546996572371
4,3,0.1,2,6,0.9999999996851869
5,3,0.1,1,3,0.728901029465066
5,3,0.1,2,6,0.5576231690691653
5,3,0.1,3,9,0.5460082358142334
5,3,0.1,4,12,0.6809956113280871
5,3,0.1,5,15,0.8204796712618677
5,3,0.1,6,18,0.956460510049429
5,3,0.1,7,21,0.9999863822835178
6,3,0.1,1,3,0.2084797059408532
6,3,0.1,2,6,0.06367391202505218
6,3,0.1,3,9,0.1310708562119386
6,3,0.1,4,12,0.48459854682785386
6,3,0.1,5,15,0.6252762688346616
6,3,0.1,6,18,0.8177996138066567
6,3,0.1,7,21,0.9999999998743911
7,3,0.1,1,3,0.32364491517124877
7,3,0.1,2,6,0.47521950799099333
7,3,0.1,3,9,0.25395768647311584
7,3,0.1,4,12,0.1416913324892939
7,3,0.1,5,15,0.15107048249317434
7,3,0.1,6,18,0.38058660256691534
7,3,0.1,7,21,0.49484101673859004
7,3,0.1,8,24,0.3776692486596419
7,3,0.1,9,27,0.4724639663119303
7,3,0.1,10,30,0.6292141315169784
7,3,0.1,11,33,0.6795770592862227
7,3,0.1,12,36,0.631244489497648
7,3,0.1,13,39,0.45525841452996785
7,3,0.1,14,42,0.5931318833261959
7,3,0.1,15,45,0.9525761129930256
7,3,0.1,16,48,0.8817781992739914
7,3,0.1,17,51,0.9447423372391973
7,3,0.1,18,54,0.9492802548203083
7,3,0.1,19,57,0.9435305951073818
7,3,0.1,20,60,0.9206586797235438
7,3,0.1,21,63,0.9319662933120062
7,3,0.1,22,66,0.9601291654373193
7,3,0.1,23,69,0.9652844898077696
7,3,0.1,24,72,0.9789290401768866
7,3,0.1,25,75,0.9802252483320707
7,3,0.1,26,78,0.9909326791714772
8,3,0.1,1,3,0.0023241228541237375
8,3,0.1,2,6,0.06857756469842519
8,3,0.1,3,9,0.07357206930250644
8,3,0.1,4,12,0.020386961615225487
8,3,0.1,5,15,0.07336857639360836
8,3,0.1,6,18,0.08385681731439631
8,3,0.1,7,21,0.12803517116508134
8,3,0.1,8,24,0.20266758515807412
8,3,0.1,9,27,0.43840480087139744
8,3,0.1,10,30,0.44739294037140404
8,3,0.1,11,33,0.5767187665312294
8,3,0.1,12,36,0.4666866276086965
8,3,0.1,13,39,0.41231662556364734
8,3,0.1,14,42,0.33458120378377787
8,3,0.1,15,45,0.4881162906705961
8,3,0.1,16,48,0.6296115233375363
8,3,0.1,17,51,0.7063201480900552
8,3,0.1,18,54,0.6923085904962099
8,3,0.1,19,57,0.7373487119336433
8,3,0.1,20,60,0.7882151164733595
8,3,0.1,21,63,0.794851946517809
8,3,0.1,22,66,0.7903156729584994
8,3,0.1,23,69,0.8898947183479146
8,3,0.1,24,72,0.9194097516221775
8,3,0.1,25,75,0.9753105205089331
8,3,0.1,26,78,0.9743933441267303
8,3,0.1,27,81,0.9999999999425897
9,3,0.1,1,3,0.14492603519945893
9,3,0.1,2,6,0.451433964368841
9,3,0.1,3,9,0.15807254017245762
9,3,0.1,4,12,0.17546016499676334
9,3,0.1,5,15,0.3299059002129913
9,3,0.1,6,18,0.12713074775867228
9,3,0.1,7,21,0.19000587872944466
9,3,0.1,8,24,0.3985014441213304
9,3,0.1,9,27,0.3425927649180523
9,3,0.1,10,30,0.40154787124065605
9,3,0.1,11,33,0.519673816701698
9,3,0.1,12,36,0.4822706956551288
9,3,0.1,13,39,0.5745845111883245
9,3,0.1,14,42,0.5353735676669638
9,3,0.1,15,45,0.46252140526226915
9,3,0.1,16,48,0.4672666150918863
9,3,0.1,17,51,0.6279416614556883
9,3,0.1,18,54,0.5284235912820311
9,3,0.1,19,57,0.4200672632022891
9,3,0.1,20,60,0.48283825523273727
9,3,0.1,21,63,0.6236045103895957
9,3,0.1,22,66,0.6177594293701262
9,3,0.1,23,69,0.6035299341184521
9,3,0.1,24,72,0.7220353949579706
9,3,0.1,25,75,0.7286590899530453
9,3,0.1,26,78,0.728148894700325
9,3,0.1,27,81,0.6620203865975377
9,3,0.1,28,84,0.7695355242372458
9,3,0.1,29,87,0.6466791189841739
9,3,0.1,30,90,0.596422997941719
9,3,0.1,31,93,0.7041621416028908
9,3,0.1,32,96,0.8217750532677818
9,3,0.1,33,99,0.7912123644381723
9,3,0.1,34,102,0.6854006025792154
9,3,0.1,35,105,0.813188107170348
9,3,0.1,36,108,0.7929635623059769
9,3,0.1,37,111,0.7785753656798653
9,3,0.1,38,114,0.7192750271629689
9,3,0.1,39,117,0.8345509164319653
