qubits,M,tau,num_iters,num_states,fidelity
2,30,0.1,1,30,0.9999999999998135
3,30,0.1,1,30,1.0000000000002842
4,30,0.1,1,30,1.0000000000002829
5,30,0.1,1,30,0.9764125522289029
5,30,0.1,2,60,0.9999968580776922
6,30,0.1,1,30,0.5326033268207785
6,30,0.1,2,60,0.9975798610724482
7,30,0.1,1,30,0.2650651172617046
7,30,0.1,2,60,0.6966119714022183
7,30,0.1,3,90,0.943286907872076
7,30,0.1,4,120,0.9779352297017112
7,30,0.1,5,150,0.9990873132998691
8,30,0.1,1,30,0.15890527539493784
8,30,0.1,2,60,0.5742021888365745
8,30,0.1,3,90,0.808341599298936
8,30,0.1,4,120,0.9675366059164702
8,30,0.1,5,150,0.9997653655428594
9,30,0.1,1,30,0.04656580385477248
9,30,0.1,2,60,0.07882311855500326
9,30,0.1,3,90,0.14180805661391585
9,30,0.1,4,120,0.31562809970670186
9,30,0.1,5,150,0.44829224185432004
9,30,0.1,6,180,0.606536910735689
9,30,0.1,7,210,0.70169646024
9,30,0.1,8,240,0.8063152734034433
9,30,0.1,9,270,0.8377491326120119
9,30,0.1,10,300,0.9196387327824005
9,30,0.1,11,330,0.9349910972703838
9,30,0.1,12,360,0.9521146690090232
9,30,0.1,13,390,0.9716553268923661
9,30,0.1,14,420,0.9795635662943947
9,30,0.1,15,450,0.9816875005821257
9,30,0.1,16,480,0.986339576485305
9,30,0.1,17,510,0.9938692672661935
10,30,0.1,1,30,0.2999700644570598
10,30,0.1,2,60,0.07078669694745923
10,30,0.1,3,90,0.21303645305151198
10,30,0.1,4,120,0.284194210394856
10,30,0.1,5,150,0.36954004221995945
10,30,0.1,6,180,0.5317738278822964
10,30,0.1,7,210,0.5947964408383514
10,30,0.1,8,240,0.6497848400050535
10,30,0.1,9,270,0.7259230746994587
10,30,0.1,10,300,0.8165461588169506
10,30,0.1,11,330,0.8659954448104504
10,30,0.1,12,360,0.920960487475376
10,30,0.1,13,390,0.9496045144789447
10,30,0.1,14,420,0.9701432778869947
10,30,0.1,15,450,0.9845517186897853
10,30,0.1,16,480,0.9929165438449253
