qubits,M,tau,num_iters,num_states,fidelity
2,3,0.1,1,3,0.9999999999998135
3,3,0.1,1,3,0.41010053448781775
3,3,0.1,2,6,0.4101005344810777
3,3,0.1,3,9,1.0000000000004396
4,3,0.1,1,3,0.2114546996572371
4,3,0.1,2,6,0.2114546996571764
4,3,0.1,3,9,0.5909509583834515
4,3,0.1,4,12,1.0000000000343725
5,3,0.1,1,3,0.728901029465066
5,3,0.1,2,6,0.7289010294649362
5,3,0.1,3,9,0.5987391270706476
5,3,0.1,4,12,0.42228019207540635
5,3,0.1,5,15,0.4529047159834582
5,3,0.1,6,18,0.9131181284885252
5,3,0.1,7,21,0.9999999999847782
6,3,0.1,1,3,0.2084797059408532
6,3,0.1,2,6,0.2084797059410154
6,3,0.1,3,9,0.1175201708203303
6,3,0.1,4,12,0.005281551580099839
6,3,0.1,5,15,0.5944491935114599
6,3,0.1,6,18,0.34791657201688997
6,3,0.1,7,21,0.06274642147046953
6,3,0.1,8,24,0.3015834568083267
6,3,0.1,9,27,0.8802619750849451
6,3,0.1,10,30,0.8959003427448102
6,3,0.1,11,33,0.9828369582281165
6,3,0.1,12,36,0.998848518488642
7,3,0.1,1,3,0.32364491517124877
7,3,0.1,2,6,0.3236449151710335
7,3,0.1,3,9,0.2349624461886438
7,3,0.1,4,12,0.23573337163594213
7,3,0.1,5,15,0.41659625286553886
7,3,0.1,6,18,0.2556246103438509
7,3,0.1,7,21,0.26797348856421727
7,3,0.1,8,24,0.34201685166492385
7,3,0.1,9,27,0.27543308975328884
7,3,0.1,10,30,0.4650288735992855
7,3,0.1,11,33,0.3277599028905569
7,3,0.1,12,36,0.2245425277457068
7,3,0.1,13,39,0.5148370422487948
7,3,0.1,14,42,0.5602183916488467
7,3,0.1,15,45,0.25471264945276123
7,3,0.1,16,48,0.09974340812204448
7,3,0.1,17,51,0.22088374506681124
7,3,0.1,18,54,0.4683321993026834
7,3,0.1,19,57,0.5454860356200611
7,3,0.1,20,60,0.6787077421656299
7,3,0.1,21,63,0.7854552313058466
7,3,0.1,22,66,0.8342889936493649
7,3,0.1,23,69,0.9059141751539799
7,3,0.1,24,72,0.9258214715814888
7,3,0.1,25,75,0.999999999835077
8,3,0.1,1,3,0.0023241228541237375
8,3,0.1,2,6,0.0023241228541200716
8,3,0.1,3,9,0.03661736424199207
8,3,0.1,4,12,0.057351105772798665
8,3,0.1,5,15,0.09530698718263308
8,3,0.1,6,18,0.008920652092604764
8,3,0.1,7,21,0.023941668301148383
8,3,0.1,8,24,0.010928584240414782
8,3,0.1,9,27,0.06502387655520558
8,3,0.1,10,30,0.07330581631739361
8,3,0.1,11,33,0.014867773644745329
8,3,0.1,12,36,0.10224189632446112
8,3,0.1,13,39,0.2159946836757759
8,3,0.1,14,42,0.2906779896721202
8,3,0.1,15,45,0.18410746672140071
8,3,0.1,16,48,0.16116625425815628
8,3,0.1,17,51,0.13367042258906897
8,3,0.1,18,54,0.09051500011886186
8,3,0.1,19,57,0.05142213187801593
8,3,0.1,20,60,0.058350556455130397
8,3,0.1,21,63,0.08675847321849359
8,3,0.1,22,66,0.058410668155173304
8,3,0.1,23,69,0.09187983205703872
8,3,0.1,24,72,0.07796701230030133
8,3,0.1,25,75,0.1119666470787504
8,3,0.1,26,78,0.059805378971378914
8,3,0.1,27,81,0.02223499847111306
8,3,0.1,28,84,0.018048752378196174
8,3,0.1,29,87,0.031182375011262118
8,3,0.1,30,90,0.028798997294871873
8,3,0.1,31,93,0.021722177788566943
8,3,0.1,32,96,0.018213965158833247
8,3,0.1,33,99,0.0038542616666335846
8,3,0.1,34,102,0.0057889610179969325
8,3,0.1,35,105,0.029534427704515073
8,3,0.1,36,108,0.037677735043934235
8,3,0.1,37,111,0.16353227808421184
8,3,0.1,38,114,0.209547225276517
8,3,0.1,39,117,0.2106376946381866
8,3,0.1,40,120,0.2670779470162868
8,3,0.1,41,123,0.2525215621151025
8,3,0.1,42,126,0.3093662954329077
8,3,0.1,43,129,0.5734020894989645
8,3,0.1,44,132,0.67691952668773
8,3,0.1,45,135,0.7175209583138367
8,3,0.1,46,138,0.6773129356729172
8,3,0.1,47,141,0.7386712050892643
8,3,0.1,48,144,0.8876385702889189
8,3,0.1,49,147,0.907283039137809
8,3,0.1,50,150,0.9340813772816352
8,3,0.1,51,153,0.9243312286520294
8,3,0.1,52,156,0.9287618997411713
8,3,0.1,53,159,1.0000000000464402
9,3,0.1,1,3,0.14492603519945893
9,3,0.1,2,6,0.1449260351994315
9,3,0.1,3,9,0.25377184053696134
9,3,0.1,4,12,0.41190870947337616
9,3,0.1,5,15,0.22642347638538582
9,3,0.1,6,18,0.13289039659254032
