qubits,M,tau,num_iters,num_states,fidelity
2,10,0.1,1,10,0.9999999999998241
3,10,0.1,1,10,0.9999999999998646
4,10,0.1,1,10,0.9999999997644387
5,10,0.1,1,10,0.4104486114086985
5,10,0.1,2,20,0.41045225911606154
5,10,0.1,3,30,1.0000543617782354
6,10,0.1,1,10,0.3250664378447227
6,10,0.1,2,20,0.45459230063020567
6,10,0.1,3,30,0.45457519191608914
6,10,0.1,4,40,0.9876328669609397
6,10,0.1,5,50,1.000004690600778
7,10,0.1,1,10,0.3392486139371093
7,10,0.1,2,20,0.3392485975692732
7,10,0.1,3,30,0.3988898830450773
7,10,0.1,4,40,0.7037501581375367
7,10,0.1,5,50,0.5245694623161767
7,10,0.1,6,60,0.7646990570177976
7,10,0.1,7,70,0.8587165924879308
7,10,0.1,8,80,0.9805368110645821
7,10,0.1,9,90,0.9999989195859728
8,10,0.1,1,10,0.04649453112999583
8,10,0.1,2,20,0.046494531211957554
8,10,0.1,3,30,0.37061243042779346
8,10,0.1,4,40,0.29835742987383973
8,10,0.1,5,50,0.15928821315016875
8,10,0.1,6,60,0.3343447541723759
8,10,0.1,7,70,0.4518882261054226
8,10,0.1,8,80,0.4822428462081844
8,10,0.1,9,90,0.4877274819687075
8,10,0.1,10,100,0.48507060901737603
8,10,0.1,11,110,0.6255361605311154
8,10,0.1,12,120,0.7193724820998002
8,10,0.1,13,130,0.8351255025187763
8,10,0.1,14,140,0.9118645563253721
8,10,0.1,15,150,0.9969388247116882
