qubits,M,tau,num_iters,num_states,fidelity
2,20,0.1,1,20,0.9999999999998221
3,20,0.1,1,20,1.0000000000002567
4,20,0.1,1,20,1.0000000000011662
5,20,0.1,1,20,0.8988633147745962
5,20,0.1,2,40,0.8988633145633783
5,20,0.1,3,60,1.0000000000073888
6,20,0.1,1,20,0.6261430284495485
6,20,0.1,2,40,0.4527969175256061
6,20,0.1,3,60,0.45284951250992034
6,20,0.1,4,80,0.9928157530798162
7,20,0.1,1,20,0.25410173552346355
7,20,0.1,2,40,0.5833368231175391
7,20,0.1,3,60,0.6316778733408226
7,20,0.1,4,80,0.832738505758649
7,20,0.1,5,100,0.9534752746797174
7,20,0.1,6,120,0.953254690129553
7,20,0.1,7,140,0.9999999982620982
8,20,0.1,1,20,0.12983428110083386
8,20,0.1,2,40,0.5866689706409178
8,20,0.1,3,60,0.5901316722308774
8,20,0.1,4,80,0.4117241907132173
8,20,0.1,5,100,0.5048003433939073
8,20,0.1,6,120,0.47088506757312054
8,20,0.1,7,140,0.6005542916767472
8,20,0.1,8,160,0.7984199930640774
8,20,0.1,9,180,0.9005254477159284
8,20,0.1,10,200,0.9615612840361495
8,20,0.1,11,220,0.9872128387572084
8,20,0.1,12,240,0.999264564364925
9,20,0.1,1,20,0.2755171035275764
9,20,0.1,2,40,0.09009321245304128
9,20,0.1,3,60,0.2046700332576613
9,20,0.1,4,80,0.4508468846740921
9,20,0.1,5,100,0.3630793921883942
9,20,0.1,6,120,0.48139710146166154
9,20,0.1,7,140,0.6134657571375741
9,20,0.1,8,160,0.6981347322818212
9,20,0.1,9,180,0.5669134261962744
9,20,0.1,10,200,0.6079056616905657
9,20,0.1,11,220,0.6486845140098202
9,20,0.1,12,240,0.6529563731141769
9,20,0.1,13,260,0.7424864775222186
9,20,0.1,14,280,0.7537599969218645
9,20,0.1,15,300,0.7759110492538741
9,20,0.1,16,320,0.8084293420735397
9,20,0.1,17,340,0.8601494930608065
9,20,0.1,18,360,0.9064612736885034
9,20,0.1,19,380,0.9375054962207774
9,20,0.1,20,400,0.9700371708802231
9,20,0.1,21,420,0.9848397029927826
9,20,0.1,22,440,0.992543464629309
10,20,0.1,1,20,0.09913546464529159
10,20,0.1,2,40,0.2607980625047403
10,20,0.1,3,60,0.264504978567505
10,20,0.1,4,80,0.1735341845621219
10,20,0.1,5,100,0.29379544034175564
10,20,0.1,6,120,0.33235179821319294
10,20,0.1,7,140,0.3652746139392284
10,20,0.1,8,160,0.3429321545579321
10,20,0.1,9,180,0.3896279220158922
10,20,0.1,10,200,0.38002680361906666
10,20,0.1,11,220,0.42295216255517504
10,20,0.1,12,240,0.3977315687040781
10,20,0.1,13,260,0.4479186507358913
10,20,0.1,14,280,0.4601551055125897
10,20,0.1,15,300,0.4821377902291763
10,20,0.1,16,320,0.5139696247260614
10,20,0.1,17,340,0.5699050129302448
10,20,0.1,18,360,0.6010880330657141
10,20,0.1,19,380,0.6586803979502627
10,20,0.1,20,400,0.6960010520821149
10,20,0.1,21,420,0.7349158827744744
10,20,0.1,22,440,0.804118012434436
10,20,0.1,23,460,0.8774144085897191
10,20,0.1,24,480,0.8741310540449995
10,20,0.1,25,500,0.8886225537118454
10,20,0.1,26,520,0.8966292355491337
10,20,0.1,27,540,0.908983487332784
10,20,0.1,28,560,0.9196017788911566
10,20,0.1,29,580,0.9435187294249853
10,20,0.1,30,600,0.9586282246344143
10,20,0.1,31,620,0.9724101368935969
10,20,0.1,32,640,0.9739947938768564
10,20,0.1,33,660,0.978629409499161
10,20,0.1,34,680,0.9803504717643101
10,20,0.1,35,700,0.9839380936647109
10,20,0.1,36,720,0.9908256675024707
