qubits,M,tau,num_iters,num_states,fidelity
2,5,0.1,1,5,0.999999999999817
3,5,0.1,1,5,1.0000000000004912
4,5,0.1,1,5,0.16182891607193645
4,5,0.1,2,10,1.000000000000334
5,5,0.1,1,5,0.8003842475437584
5,5,0.1,2,10,0.8003842475430928
5,5,0.1,3,15,0.6509791082557443
5,5,0.1,4,20,0.9055831614797137
5,5,0.1,5,25,1.0000000000005764
6,5,0.1,1,5,0.42700502514380667
6,5,0.1,2,10,0.3227823655749705
6,5,0.1,3,15,0.32278236557544304
6,5,0.1,4,20,0.36172950316929625
6,5,0.1,5,25,0.36169167205124475
6,5,0.1,6,30,0.8102303683609376
6,5,0.1,7,35,0.9999999990110384
7,5,0.1,1,5,0.32746744669127875
7,5,0.1,2,10,0.32746744669123157
7,5,0.1,3,15,0.11129552333156753
7,5,0.1,4,20,0.18214376722235526
7,5,0.1,5,25,0.16830119453210357
7,5,0.1,6,30,0.4075838778215882
7,5,0.1,7,35,0.220936759181543
7,5,0.1,8,40,0.4538645437423916
7,5,0.1,9,45,0.597124241372456
7,5,0.1,10,50,0.7940377438623697
7,5,0.1,11,55,0.8624270664795798
7,5,0.1,12,60,0.8816266882933038
7,5,0.1,13,65,0.9546816625607586
7,5,0.1,14,70,0.9974731591088516
8,5,0.1,1,5,0.00738461246181318
8,5,0.1,2,10,0.007384612461822044
8,5,0.1,3,15,0.3248277980367861
8,5,0.1,4,20,0.14660326765655096
8,5,0.1,5,25,0.015182232470951188
8,5,0.1,6,30,0.0019254350794918479
8,5,0.1,7,35,0.011967045253961073
8,5,0.1,8,40,0.03999662022114722
8,5,0.1,9,45,0.052237546084238286
8,5,0.1,10,50,0.17217118393991218
8,5,0.1,11,55,0.27044729149876984
8,5,0.1,12,60,0.1284567170268686
8,5,0.1,13,65,0.21890037349884545
8,5,0.1,14,70,0.1861591020567061
8,5,0.1,15,75,0.1689875515104152
8,5,0.1,16,80,0.2365477621869623
8,5,0.1,17,85,0.21646638082584718
8,5,0.1,18,90,0.3087071503213656
8,5,0.1,19,95,0.4423567345877123
8,5,0.1,20,100,0.4891279509327008
8,5,0.1,21,105,0.5139648880305249
8,5,0.1,22,110,0.5733615030897604
8,5,0.1,23,115,0.6976937718242768
8,5,0.1,24,120,0.8736739101514964
8,5,0.1,25,125,1.0000000000224336
